Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,GameScore,CriticScore
Spec Ops: The Line,2012,0.15,0.16,0.02,0.05,0.385,76.5,21.5,793.5,8.395,9.055,7.73
Spider-Man: Edge of Time,2011,0.105,0.05,0,0.02,0.17,54,25,20.5,7.195,8.245,6.145
Spider-Man: Shattered Dimensions,2010,0.26,0.12,0,0.05,0.44,74,57,96,7.63,7.95,7.31
Spider-Man: Web of Shadows,2008,0.1,0.03,0,0.01,0.14,59.5,27.5,45.5,7.245,7.78,6.72
Spirit Camera: The Cursed Memoir,2012,0.13,0.02,0.06,0.01,0.22,54,35,28,6.58,7.69,5.47
Spore,2008,0.03,1.06,0,0.08,1.17,84,75,1711,8.41,8.78,8.04
Star Fox 64 3D,2011,0.48,0.27,0.13,0.06,0.94,81,65,231,8.32,8.77,7.86
Star Ocean: The Last Hope International,2010,0.28,0.15,0.22,0.07,0.72,74,45,155,8.17,8.68,7.66
Star Trek Online,2010,0,0.02,0,0,0.02,66,34,694,7.28,7.66,6.9
Star Trek: Legacy,2006,0,0.01,0,0,0.02,56,25,35,7.36,8.22,6.49
Star Wars: Battlefront,2004,0.07,0.13,0,0.02,0.21,72,19,1509,6.76,6.44,7.09
Star Wars: Battlefront II,2005,0.02,0.13,0,0.02,0.17,78,23,431,7.63,8.49,6.77
Star Wars: Empire at War,2006,0.01,0.06,0,0.01,0.08,79,45,240,8.66,9.52,7.81
Star Wars: Knights of the Old Republic,2003,0.01,0.1,0,0.02,0.14,93,33,1497,8.55,8.88,8.23
Star Wars: Republic Commando,2005,0,0.04,0,0.01,0.05,78,34,279,8.48,9.26,7.71
Star Wars: The Force Unleashed,2008,1.01,0.85,0,0.35,2.21,71,47,233,7.73,8.05,7.41
Star Wars: The Force Unleashed II,2010,0.415,0.245,0,0.105,0.765,61,27.5,141.5,6.75,7.105,6.395
Star Wars: The Old Republic,2011,1.58,1.01,0,0.38,2.96,85,73,2748,8.18,7.96,8.4
StarCraft II: Legacy of the Void,2015,0.19,0.29,0,0.04,0.53,88,62,833,8.54,8.41,8.67
StarCraft II: Wings of Liberty,2010,2.57,1.68,0,0.58,4.84,93,82,3052,8.88,8.58,9.19
Starhawk,2012,0.18,0.05,0.03,0.03,0.29,77,71,188,7.94,8.16,7.72
Steel Diver,2011,0.31,0.09,0.05,0.03,0.49,58,55,29,6.77,7.77,5.77
Steins;Gate,2012,0.01,0.02,0.02,0.01,0.06,83,8,51,8.57,9.11,8.03
Steins;Gate 0,2015,0,0,0.05,0,0.05,81,17,29,8.62,9.29,7.95
Stella Glow,2015,0.16,0.01,0.05,0.02,0.24,79,32,82,8.51,9.43,7.58
Story of Seasons,2014,0,0.14,0.27,0.01,0.42,76,39,54,8.11,8.75,7.48
Stranglehold,2007,0.24,0.02,0,0.03,0.3,77,22,48,7.43,7.31,7.55
Street Fighter IV,2009,2.03,1.04,0.58,0.52,4.16,94,61,330,8.47,8.14,8.8
Street Fighter V,2016,0.2,0.165,0.04,0.07,0.48,75.5,56.5,826,7.475,7.185,7.765
Street Fighter X Tekken,2012,0.21,0.115,0.05,0.045,0.425,81.5,29.5,162.5,7.4,6.905,7.895
Super Dungeon Bros,2016,0.01,0,0,0,0.01,42,9,7,6.12,7.03,5.21
Super Mario 3D Land,2011,4.89,3,2.14,0.78,10.81,90,82,921,9.22,9.76,8.67
Super Monkey Ball 3D,2011,0.26,0.15,0.05,0.04,0.49,55,57,31,6.81,7.77,5.85
Super Stardust Ultra VR,2016,0,0.01,0,0,0.01,66,13,13,7.72,8.55,6.88
Supreme Commander,2007,0,0.04,0,0.01,0.05,86,44,263,8.49,8.71,8.27
Supreme Commander 2,2010,0,0.15,0,0.04,0.19,77,54,803,7.89,8.43,7.36
Supreme Commander: Forged Alliance,2007,0.01,0.02,0,0,0.04,81,35,219,8.72,9.48,7.96
Sword Art Online: Hollow Realization,2016,0.06,0.02,0.1,0.02,0.19,69,32,52,8,9.07,6.93
Sword Art Online: Lost Song,2015,0.1,0.11,0,0.04,0.25,63,32,60,7.77,9.13,6.41
Syndicate,2012,0.07,0.06,0,0.02,0.14,75,29,106,7.37,7.33,7.4
Sébastien Loeb Rally Evo,2016,0,0.04,0,0.01,0.04,71,28,73,7.2,7.43,6.97
Tales of Graces f,2010,0.28,0.18,0.45,0.07,0.98,77,55,336,8.31,8.8,7.82
Tales of Xillia,2011,0.29,0.18,0.67,0.09,1.22,78,65,468,8.49,8.95,8.03
Tales of Zestiria,2015,0.17,0.15,0.02,0.06,0.4,72,59,315,8.06,8.7,7.41
Tales of the Abyss,2011,0.43,0.19,0.14,0.06,0.83,75,33,197,8.01,8.76,7.26
Tearaway Unfolded,2015,0.09,0.13,0,0.04,0.26,81,70,188,8.43,8.62,8.24
Tears to Tiara II: Heir of the Overlord,2013,0.07,0.01,0.06,0.02,0.15,65,18,41,7.95,8.7,7.21
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,0.05,0.02,0,0.02,0.09,44,49,163,6.56,8.3,4.83
Tekken 3D: Prime Edition,2012,0.06,0.07,0.05,0.01,0.2,64,42,39,7.66,8.7,6.62
Tekken 6,2009,1.2,0.97,0.17,0.42,2.75,79,63,211,8.07,8.23,7.92
Tekken Tag Tournament 2,2012,0.28,0.31,0.13,0.13,0.85,82,50,193,8.47,8.7,8.25
Tenkai Knights: Brave Battle,2014,0.01,0.01,0,0,0.02,26,10,22,6.27,7.74,4.81
Terraria,2013.5,0.0175,0.105,0.0375,0.0175,0.1775,79.5,12.75,437.75,8.6125,9.45,7.77
Test Drive Unlimited,2007,0,0.02,0,0,0.02,79,18,124,7.86,8.19,7.54
The Adventures of Tintin: The Game,2011,0.055,0.12,0,0.035,0.205,57.5,17.5,12.5,7.28,8.025,6.535
The Awakened Fate Ultimatum,2014,0,0,0.02,0,0.02,65,20,23,7.31,7.83,6.78
The Beatles: Rock Band,2009,0.67,0.29,0,0.15,1.12,88,60,59,8.49,8.31,8.68
The Bureau: XCOM Declassified,2013,0.04,0.09,0,0.02,0.15,67.5,33.5,350,6.96,7.26,6.66
The Chronicles of Narnia: Prince Caspian,2008,0.14,0.01,0,0.02,0.17,56,16,8,6.98,7.3,6.65
The Chronicles of Riddick: Assault on Dark Athena,2009,0.06,0.05,0,0.02,0.13,80,35.5,88,7.75,8.015,7.485
The Club,2008,0.14,0.07,0,0.03,0.23,72,42,15,7.13,6.93,7.33
The Crew,2014,0.175,0.615,0.015,0.135,0.94,66,36,519,7.165,7.565,6.765
The Cursed Crusade,2011,0.07,0.06,0.01,0.03,0.17,45,17,26,6.45,7.77,5.14
The Darkness,2007,0.2,0.33,0,0.13,0.66,80,35,107,7.85,7.83,7.88
The Darkness II,2012,0.12,0.08,0,0.03,0.23,78,24,287.5,8.17,8.505,7.84
The Elder Scrolls IV: Oblivion,2006.5,0.85,0.525,0.07,0.235,1.675,93.5,49.5,1529,8.72,8.905,8.53
