Name,Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Airship Q,PSV,2015,14397,0.0,0.0,0.03,0.0,0.03
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,12302,0.0,0.0,0.06,0.0,0.06
Akai Ito DS,DS,2008,15198,0.0,0.0,0.02,0.0,0.02
Akai Katana Shin,X360,2011,12440,0.04,0.0,0.01,0.0,0.06
Akane Iro ni Somaru Saka Parallel,PS2,2008,14709,0.0,0.0,0.03,0.0,0.03
Akatsuki no Amaneka to Aoi Kyojin,PSP,2010,16385,0.0,0.0,0.01,0.0,0.01
Akatsuki no Goei Trinity,PS3,2012,16524,0.0,0.0,0.01,0.0,0.01
Akatsuki no Goei Trinity,PSP,2012,16428,0.0,0.0,0.01,0.0,0.01
Akiba's Trip,PSP,2011,9131,0.0,0.0,0.14,0.0,0.14
Akiba's Trip Plus,PSP,2012,11510,0.0,0.0,0.08,0.0,0.08
Akiba's Trip: Undead & Undressed,PS3,2013,10292,0.05,0.01,0.04,0.01,0.11
Akiba's Trip: Undead & Undressed,PS4,2014,10100,0.08,0.0,0.01,0.02,0.11
Akiba's Trip: Undead & Undressed,PSV,2013,7338,0.09,0.02,0.08,0.03,0.21
Akko ni Omakase! Brain Shock,DS,2006,13784,0.0,0.0,0.04,0.0,0.04
Akuji the Heartless,PS,1998,9878,0.07,0.04,0.0,0.01,0.12
Aladdin Magic Racer,Wii,2011,16431,0.01,0.0,0.0,0.0,0.01
Alan Wake,PC,2012,12110,0.0,0.06,0.0,0.01,0.07
Alan Wake,X360,2010,1444,0.66,0.51,0.05,0.13,1.35
Alexi Lalas International Soccer,PS,1998,11917,0.04,0.03,0.0,0.0,0.07
