Name,Platform,Play Score,Game Score,Critic Score
DEADBOLT,PC,8.42,9.45,7.39
Fallout: New Vegas,PC,8.79,9.44,8.13
Dragon Ball Z: Battle of Z,Xbox 360,7.50,9.44,5.55
Burger Shop 2,iOS,8.65,9.44,7.87
Resident Evil 5,PS4,8.31,9.44,7.18
Saints Row: The Third,PC,8.72,9.44,8.00
Psychonauts,PC,8.55,9.44,7.67
Axiom Verge,PS4,8.77,9.44,8.11
CATS: Crash Arena Turbo Stars,iOS,8.49,9.44,7.55
Lara Croft GO,iOS,8.81,9.44,8.18
Orcs Must Die!,PC,8.55,9.44,7.67
ROME: Total War,iOS,8.72,9.44,8.00
Motorsport Manager Mobile 2,iOS,8.99,9.44,8.54
One Piece: Pirate Warriors 3,PS3,8.17,9.44,6.91
Bloodstained: Ritual of the Night,PS4,8.88,9.44,8.32
Picross 3D: Round 2,3DS,8.76,9.44,8.09
Yuppie Psycho,PC,8.74,9.44,8.05
Battle Chef Brigade,PC,8.53,9.44,7.63
My Singing Monsters,iOS,8.63,9.44,7.83
Love You To Bits,iOS,8.78,9.44,8.12
Red Dead Redemption 2,PS4,9.47,9.44,9.50
Burrito Bison: Launcha Libre,iOS,8.80,9.43,8.17
DRAGON BALL LEGENDS,iOS,8.25,9.43,7.08
Reigns: Game of Thrones,iOS,8.79,9.43,8.15
Dark Souls III,PS4,9.10,9.43,8.77
Lethal League,PC,8.34,9.43,7.25
Senran Kagura: Estival Versus,PC,8.28,9.43,7.13
Quadropus Rampage,iOS,8.78,9.43,8.13
Door Kickers,iOS,8.87,9.43,8.31
Plants vs. Zombies,PS3,8.66,9.43,7.90
The Legend of Heroes: Trails of Cold Steel,PC,8.28,9.43,7.13
Antichamber,PC,8.83,9.43,8.24
TowerFall Ascension,PC,8.92,9.43,8.40
Hellblade: Senua's Sacrifice,PS4,8.88,9.43,8.33
Hyperdimension Neptunia Re;Birth1,PC,8.28,9.43,7.13
Stella Glow,3DS,8.51,9.43,7.58
Trine 2,PC,8.79,9.43,8.15
Stephen's Sausage Roll,PC,8.78,9.43,8.13
Tiny Bubbles,iOS,9.10,9.43,8.77
Hero Hunters,iOS,8.85,9.43,8.27
Tomb Raider: Definitive Edition,PS4,8.80,9.43,8.17
Child of Light,PS4,8.73,9.43,8.03
Samorost 3,PC,8.65,9.43,7.87
Ni no Kuni: Wrath of the White Witch Remastered,PS4,8.90,9.43,8.38
